PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
1,0,3,"Braund, Owen Harris",male,22.0,1,0,A/5 21171,7.25,None,S,Mr
2,1,1,"Cumings, John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,65.6344,C85,C,Mrs
3,1,3,"Heikkinen, Laina",female,26.0,0,0,STON/O2. 3101282,7.925,None,S,Miss
4,1,1,"Futrelle, Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,Mrs
5,0,3,"Allen, William Henry",male,35.0,0,0,373450,8.05,None,S,Mr
6,0,3,"Moran, James",male,28.0,0,0,330877,8.4583,None,Q,Mr
7,0,1,"Mccarthy, Timothy J",male,54.0,0,0,17463,51.8625,E46,S,Mr
8,0,3,"Palsson, Gosta Leonard",male,2.0,3,1,349909,21.075,None,S,Master
9,1,3,"Johnson, Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,None,S,Mrs
10,1,2,"Nasser, Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,None,C,Mrs
11,1,3,"Sandstrom, Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,Miss
12,1,1,"Bonnell, Elizabeth",female,58.0,0,0,113783,26.55,C103,S,Miss
13,0,3,"Saundercock, William Henry",male,20.0,0,0,A/5. 2151,8.05,None,S,Mr
14,0,3,"Andersson, Anders Johan",male,39.0,1,5,347082,31.275,None,S,Mr
15,0,3,"Vestrom, Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,None,S,Miss
16,1,2,"Hewlett, (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,None,S,Mrs
17,0,3,"Rice, Eugene",male,2.0,4,1,382652,29.125,None,Q,Master
18,1,2,"Williams, Charles Eugene",male,28.0,0,0,244373,13.0,None,S,Mr
19,0,3,"Vander Planke, Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,None,S,Mrs
20,1,3,"Masselmani, Fatima",female,28.0,0,0,2649,7.225,None,C,Mrs
21,0,2,"Fynney, Joseph J",male,35.0,0,0,239865,26.0,None,S,Mr
22,1,2,"Beesley, Lawrence",male,34.0,0,0,248698,13.0,D56,S,Mr
23,1,3,"Mcgowan, Anna ""Annie""",female,15.0,0,0,330923,8.0292,None,Q,Miss
24,1,1,"Sloper, William Thompson",male,28.0,0,0,113788,35.5,A6,S,Mr
25,0,3,"Palsson, Torborg Danira",female,8.0,3,1,349909,21.075,None,S,Miss
26,1,3,"Asplund, Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,None,S,Mrs
27,0,3,"Emir, Farred Chehab",male,28.0,0,0,2631,7.225,None,C,Mr
28,0,1,"Fortune, Charles Alexander",male,19.0,3,2,19950,65.6344,C23 C25 C27,S,Mr
29,1,3,"O'Dwyer, Ellen ""Nellie""",female,28.0,0,0,330959,7.8792,None,Q,Miss
30,0,3,"Todoroff, Lalio",male,28.0,0,0,349216,7.8958,None,S,Mr
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,None,C,Rare
32,1,1,"Spencer, William Augustus (Marie Eugenie)",female,28.0,1,0,PC 17569,65.6344,B78,C,Mrs
33,1,3,"Glynn, Mary Agatha",female,28.0,0,0,335677,7.75,None,Q,Miss
